,0,1,2,3,4,5,6,7,8,9,10,11,12
91,92.0,17058.0,6959.0,30.94,0.0,-3.0,3.0,0.3333333333333333,18422.895,0.0,67.84,0.0,-0.0
92,93.0,16865.0,7351.0,31.0,-2.0,-2.0,2.828,0.3536067892503536,18397.43,0.0,66.48,-0.0,-0.0
93,94.0,16623.0,7630.0,30.91,-2.0,2.0,2.828,0.3536067892503536,18290.463,0.0,65.38,-0.0,0.0
94,95.0,16496.0,7937.0,30.81,1.0,-2.0,2.236,0.44722719141323786,18306.119,0.0,64.34,0.0,0.0
95,96.0,16301.0,8256.0,30.91,-13.0,0.0,13.0,0.07692307692307693,18272.497,0.001,63.17,0.0,0.0
96,97.0,16014.0,8579.0,30.94,0.0,-1.0,1.0,1.0,18167.208,0.0,61.85,0.0,-0.0
97,98.0,15866.0,8909.0,30.94,-1.0,1.0,1.414,0.7072135785007072,18196.16,0.0,60.72,-0.0,-0.0
98,99.0,15725.0,9180.0,30.88,0.0,-2.0,2.0,0.5,18208.46,0.0,59.75,-0.0,-0.0
99,100.0,15775.0,9826.0,30.88,1.0,-2.0,2.236,0.44722719141323786,18584.964,0.0,58.11,0.0,0.0
100,101.0,15141.0,9843.0,30.94,5.0,-2.0,5.385,0.18570102135561747,18059.195,0.0,57.0,0.0,0.0
101,102.0,15055.0,10099.0,30.94,-4.0,4.0,5.657,0.176772140710624,18128.509,0.0,56.17,0.0,-0.0
102,103.0,14681.0,10334.0,30.94,3.0,0.0,3.0,0.3333333333333333,17953.365,0.0,54.89,-0.0,-0.0
103,104.0,14468.0,10623.0,31.0,1.0,9.0,9.055,0.11043622308117063,17949.127,0.001,53.74,-0.0,-0.0
104,105.0,14313.0,10925.0,30.97,-4.0,-2.0,4.472,0.22361359570661893,18006.043,0.0,52.67,-0.0,0.0
105,106.0,13934.0,11085.0,31.0,-2.0,-2.0,2.828,0.3536067892503536,17805.437,0.0,51.52,0.0,0.0
106,107.0,13702.0,11348.0,30.91,2.0,-1.0,2.236,0.44722719141323786,17791.063,0.0,50.39,0.0,0.0
107,108.0,13533.0,11694.0,30.97,-2.0,-4.0,4.472,0.22361359570661893,17885.517,0.0,49.19,0.0,-0.0
108,109.0,13157.0,11838.0,31.0,-1.0,-3.0,3.162,0.3162555344718533,17698.726,0.0,48.05,-0.0,-0.0
109,110.0,12914.0,12069.0,30.94,1.0,-3.0,3.162,0.3162555344718533,17675.751,0.0,46.96,-0.0,0.0
110,111.0,12060.0,13187.0,30.88,3.0,-1.0,3.162,0.3162555344718533,17870.103,0.0,42.47,0.0,-0.0
111,112.0,12340.0,12550.0,30.94,6.0,-2.0,6.325,0.15810276679841898,17600.514,0.0,44.54,0.0,0.0
112,113.0,12050.0,12782.0,31.0,-2.0,-1.0,2.236,0.44722719141323786,17566.503,0.0,43.33,0.0,-0.0
113,114.0,11787.0,13034.0,30.97,-2.0,2.0,2.828,0.3536067892503536,17573.233,0.0,42.15,-0.0,-0.0
114,115.0,11488.0,13251.0,30.94,1.0,-1.0,1.414,0.7072135785007072,17537.478,0.0,40.94,-0.0,-0.0
115,116.0,11163.0,13442.0,30.91,3.0,3.0,4.243,0.23568230025925052,17472.834,0.0,39.73,-0.0,0.0
116,117.0,10872.0,13621.0,30.94,-2.0,-5.0,5.385,0.18570102135561747,17427.909,0.0,38.62,0.0,0.0
117,118.0,10579.0,13865.0,30.97,-1.0,-1.0,1.414,0.7072135785007072,17439.996,0.0,37.36,0.0,-0.0
118,119.0,10250.0,14014.0,30.94,0.0,1.0,1.0,1.0,17362.451,0.0,36.2,0.0,-0.0
119,120.0,10021.0,14133.0,30.97,-9.0,-3.0,9.487,0.10540739959945188,17325.188,0.001,35.36,-0.0,-0.0
120,121.0,9655.0,14428.0,30.94,1.0,0.0,1.0,1.0,17360.478,0.0,33.81,-0.0,0.0
121,122.0,9314.0,14532.0,30.94,1.0,2.0,2.236,0.44722719141323786,17260.638,0.0,32.67,0.0,0.0
